sorgente,domanda,corretta,errata_1,errata_2,errata_3
IngegneriaScienzeInformatiche/index.txt,Qual è il tipo di accesso numero programmato utilizzato per questo corso?,A. TOLC-I,B. TOLC-II,C. TOLC-III,D. TOLC-IV
IngegneriaScienzeInformatiche/coordinatore-consiglio/index.txt,Qual è la principale funzione del Coordinatore del Corso?,A. La pianificazione degli indirizzi del Consiglio.,B. La gestione dei rapporti con i Dipartimenti.,C. La formulanza di proposte in tema di organizzazione della didattica.,D. La previsione dei calendari e delle commissioni degli esami di laurea.
IngegneriaScienzeInformatiche/collaborazione-tra-aziende-e-i-corsi-di-laurea-in-ingegneria-e-scienze-informatiche/index.txt,Qual è la durata del tirocinio curriculare?,A. 150 ore,B. 3 mesi,C. 6 mesi,D. 9 mesi
3_IngegneriaScienzeInformatiche/collaborazione-tra-aziende-e-i-corsi-di-laurea-in-ingegneria-e-scienze-informatiche/istruzioni-per-la-pubblicazione-di-offerte-di-lavoro-tirocini-tesi-rev-1-4.pdf/@@download/file/Istruzioni%20per%20la%20Pubblicazione%20di%20Offerte%20di%20Lavoro-Tirocini-Tesi%20-%20Rev.1.4.pdf.txt,vuoto,vuoto,vuoto,vuoto,vuoto
IngegneriaScienzeInformatiche/conciliare-studio-e-lavoro/index.txt,Qual è il periodo in cui si può presentare domanda per ottenere lo status di studente lavoratore?,"A. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025","B. Dal 1º luglio al 31 agosto 2024, o dal 1º marzo al 31 maggio 2025","C. Dal 1º agosto al 31 agosto 2024, o dal 1º ottobre al 31 ottobre 2024","D. Dal 1º agosto al 31 agosto 2024, o dal 1º ottobre al 31 ottobre 2024"
IngegneriaScienzeInformatiche/iscriversi-al-corso/index.txt,Qual è il periodo in cui si possono iscrivere alla selezione II per l'accesso al corso?,A. Dal 02/05/2024 al 15/07/2023 alle 13:00.,B. Dal 04/03/2024 al 30/04/2024 alle 13:00.,C. Dal 01/01/2023 al 29 aprile 2024 alle 13:00.,D. Dal 01/01/2023 al 12 luglio 2024 alle 13:00.
IngegneriaScienzeInformatiche/iscriversi/index.txt,Qual è il corso di laurea in Ingegneria Scienze Informatiche?,"A. Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.",B. Il corso di laurea in Ingegneria Scienze Informatiche richiede molta esperienza universitaria.,C. Il corso di laurea in Ingegneria Scienze Informatiche è dedicato alla formazione di informatici.,D. Il corso di laurea in Ingegneria Scienze Informatiche richiede un'alta quota di accesso alle università.
IngegneriaScienzeInformatiche/il-corso/8615_regolamento-didattico-a-a-2024_2025.pdf.txt,Qual è l'obiettivo principale del piano didattico del corso di laurea?,A. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.,B. Confermare la validità del corso di laurea.,C. Promuovere la sostenibilità dell’offerta didattica.,D. Garantire la qualità e la fiducia nell’organizzazione del corso di laurea.
IngegneriaScienzeInformatiche/il-corso/index.txt,Qual è l'obiettivo principale del corso di Ingegneria Scienze Informatiche?,A. Descrivere la struttura del corso.,B. Elencare le materie del corso.,C. Definire l'organizzazione del corso.,D. Presentare le modalità di accesso al corso.
IngegneriaScienzeInformatiche/come-ridurre-i-costi-usare-i-servizi-e-vivere-al-meglio-mentre-studi/index.txt,Qual è il principale servizio pensato per supportare gli studenti nel loro percorso universitario?,A. La mia e-mail Studenti,B. La mia e-mail Personale,C. Il mio portale,D. Il servizio online
IngegneriaScienzeInformatiche/contatti_order=alphabetic/index.txt,Qual è l'indirizzo della sede del corso in Cesena?,"A. Via Montalti 69, 47521 Cesena (FC)",B. Via Zamboni 33 - 40126 Bologna BO,"C. Palazzo Urbinati - Via Montalti 69, 47521 Cesena (FC)",D. Indirizzo non presente nel testo
IngegneriaScienzeInformatiche/richiesta-riconoscimento-attivita-lavorativa-o-extra-universitaria-in-sostituzione-del-tirocinio/index.txt,Qual è la normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio?,A. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’articolo 12 del Regolamento universitario.,B. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’art. 13 del Regolamento universitario.,C. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’art. 14 del Regolamento universitario.,D. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’art. 15 del Regolamento universitario.
IngegneriaScienzeInformatiche/cosa-dicono-i-nostri-studenti/index.txt,Qual è il principale vantaggio del corso di Ingegneria Scienze Informatiche secondo l'autore?,A. La possibilità di continuare un eventuale corso magistrale.,B. La possibilità di lavorare dopo il corso.,C. La possibilità di studiare l'informatica come si fa nel resto d'Europa.,D. La possibilità di ottenere una buona base per intraprendere un percorso lavorativo.
IngegneriaScienzeInformatiche/iscriversi-ad-anni-successivi-al-primo/index.txt,Qual è il periodo in cui devi iscriverti al corso di studio?,A. Fino al conseguimento del titolo accademico.,B. Fino al pagamento della prima rata.,C. Fino alla scadenza della domanda di rinnovo.,D. Fino alla fine del corso di studio.
IngegneriaScienzeInformatiche/opportunita/index.txt,Qual è il servizio universitario che fornisce informazioni sull'organizzazione degli eventi e attività studentesche?,A. Studiare all'estero,B. Borse di studio e agevolazioni,C. Mense e punti di ristoro,D. Trasorti e mobilità
IngegneriaScienzeInformatiche/il-progetto-ingegneria-e-scienze-informatiche/index.txt,Qual è la possibilità di iniziare un percorso di specializzazione verso tematiche di specifico interesse dello studente in questo corso?,A. Ampia scelta di corsi complementari in numerosi ambiti.,B. Limitata scelta di corsi complementari.,C. Corso di laurea magistrale obbligatorio.,D. Corso di laurea magistrale opzionale.
IngegneriaScienzeInformatiche/il-progetto-ingegneria-e-scienze-informatiche/ingegneria-e-sc-informatiche.pdf/@@download/file/Ingegneria%20e%20Sc%20informatiche.pdf.txt,Qual è l'obiettivo principale del corso di laurea in Ingegneria e Scienze Informatiche?,A. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e di strumenti attuali per la realizzazione di soluzioni informatiche.,B. Preparare gli studenti per il lavoro nel campo dell'informatica.,C. Fornire conoscenze approfondite e professionalizzanti in specifici settori dell’informatica.,D. Fornire una cultura scientifica di base e un metodo di analisi e di studio scientifici che permettono allo studente di costruire autonomamente nuove conoscenze.
IngegneriaScienzeInformatiche/esplora-il-corso/index.txt,Qual è l'obiettivo del corso di Ingegneria Scienze Informatiche?,A. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche.,"B. Studiare l'informatica sia dal punto di vista matematico/scientifico, sia da quello progettuale/ingegneristico.",C. Conoscere le metodologie di progettazione e le tecnologie informatiche più attuali per la realizzazione di soluzioni informatiche.,D. Per ottenere un diploma di laurea in Informatica.
IngegneriaScienzeInformatiche/rappresentanti-studenti/index.txt,Qual è il periodo di elezione dei rappresentanti degli studenti per il corso di Studio in Ingegneria e Scienze Informatiche?,A. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso.,B. Il periodo di elezione dei rappresentanti degli studenti è annuale.,C. Il periodo di elezione dei rappresentanti degli studenti è quadrimestrale.,D. Il periodo di elezione dei rappresentanti degli studenti è biennale.
IngegneriaScienzeInformatiche/commissioni/index.txt,Qual è il compito della Commissione di gestione Assicurazione di Qualità del Corso?,A. Verificare l'attuazione delle azioni di miglioramento e monitorare l'andamento delle carriere degli studenti.,B. Conddivere con il Consiglio di Corso i risultati del monitoraggio svolto.,C. Organizzare iniziative volte a far conoscere con maggiore chiarezza i contenuti formativi del Corso.,D. Valutare le richieste di passaggi e trasferimenti al Corso di studio.
IngegneriaScienzeInformatiche/docenti/index.txt,Qual è il nome del docente inserito nel testo?,A. Non inserito nel testo,B. Andrea Amidei,C. Marco Antonio Boschetti,D. Giovanni Delnevo
IngegneriaScienzeInformatiche/ordinamento-a-a-2024-25/index.txt,Qual è l'obiettivo principale del nuovo ordinamento didattico del Corso di Laurea in Ingegneria e scienze informatiche?,A. La conservazione della struttura del corso,B. Potenziare le competenze in certi ambiti emergenti,C. Sviluppare competenze trasversali per lavorare in team,D. Trasformare l’insegnamento al primo anno di Inglese da B1 a B2
IngegneriaScienzeInformatiche/ordinamento-a-a-2024-25/obiettiviformativi.pdf/@@download/file/ObiettiviFormativi.pdf.txt,Il laureato è in grado di eseguire...,A. Il laureato è in grado di eseguire...,B. Il laureato è in grado di eseguire...,C. Il laureato è in grado di eseguire...,D. Il laureato è in grado di eseguire...
IngegneriaScienzeInformatiche/ordinamento-a-a-2024-25/figureprofessionali.pdf/@@download/file/FigureProfessionali.pdf.txt,Qual è la principale funzione del corso di laurea in Ingegneria e Scienze Informatiche?,"A. Progettare, sviluppare e gestire sistemi e applicazioni in ambito informatico",B. Sviluppare applicazioni web,C. Progettare sistemi operativi,D. Amministrare sistemi informatici
IngegneriaScienzeInformatiche/utilizzo-del-marchio-di-ateneo-nella-prova-finale/index.txt,Qual è il nuovo regolamento per l'uso del Marchio dell'Ateneo?,A. Il nuovo regolamento consente di inserire il marchio sulla copertina e sul frontespizio della prova finale.,B. Il nuovo regolamento consente di inserire il marchio sull'interno della prova finale.,C. Il nuovo regolamento consente di inserire il marchio su qualsiasi parte della prova finale.,D. Il nuovo regolamento consente di inserire il marchio sull'invito alla prova finale.
IngegneriaScienzeInformatiche/openday/index.txt,Qual è l'evento che è stato recentemente aperto?,A. Il corso di laurea in Ingegneria e Scienze Informatiche e del Corso di laurea a orientamento professionale in Tecnologie dei Sistemi Informatici,B. Il corso di laurea in Scienze Informatiche,C. Il corso di laurea in Ingegneria,D. Il corso di laurea in Tecnologie dei Sistemi Informatici
IngegneriaScienzeInformatiche/segreterie-e-uffici/index.txt,Qual è il principale compito della segreteria studentesca in questo contesto?,A. La gestione delle carriere degli studenti iscritti al Corso.,B. Il rilascio di certificati e duplicati.,C. Il controllo delle tasse universitarie.,D. La domanda di ammissione all'esame di laurea.
IngegneriaScienzeInformatiche/tirocini-curriculari/index.txt,Qual è la durata del tirocinio curriculare?,A. La durata del tirocinio curriculare è pari a 25 ore per ogni credito formativo attribuito a questo tipo di attività nel piano didattico del Corso.,B. La durata del tirocinio curriculare è pari a 20 ore per ogni credito formativo attribuito a questo tipo di attività nel piano didattico del Corso.,C. La durata del tirocinio curriculare è pari a 30 ore per ogni credito formativo attribuito a questo tipo di attività nel piano didattico del Corso.,D. La durata del tirocinio curriculare è pari a 40 ore per ogni credito formativo attribuito a questo tipo di attività nel piano didattico del Corso.
IngegneriaScienzeInformatiche/tirocini-curriculari/schema-riassuntivo-ingegneria-e-scienze-informatiche.pdf/@@download/file/Schema%20riassuntivo%20Ingegneria%20e%20scienze%20informatiche.pdf.txt,Qual è l’obiettivo principale di questo corso di tirocinio?,A. Caricare la domanda di tirocinio su https://tirocini.unibo.it,B. Confermare la validità dell’offerta formativa.,C. Confermare la natura convenzionata dell’azienda.,D. Inserire la relazione finale del tirocinio.
IngegneriaScienzeInformatiche/tirocini-curriculari/regolamento-tirocini-2020-2.pdf/@@download/file/Regolamento%20tirocini%202020%20(2).pdf.txt,Il presente regolamento contiene quali tipi di tirocini curriculari?,"a) tirocinio curriculare, tirocinio in preparazione della prova finale, tirocinio professionalizzante post laurea","b) tirocinio obbligatorio, tirocinio voluntario, tirocinio di ricerca","c) tirocinio di laurea, tirocinio di dottorato, tirocinio post laurea","d) tirocinio di laurea, tirocinio di dottorato, tirocinio post laurea e tirocinio professionalizzante post laurea"
IngegneriaScienzeInformatiche/tirocini-curriculari/manuale-tirocinanti_2022.pdf/@@download/file/Manuale%20Tirocinanti_2022.pdf.txt,Qual è l'obiettivo principale del tirocinio curriculare?,A. Aquire competenze professionalizzanti attraverso l'esecuzione di attività pratiche.,B. Completare la formazione teorico - pratica.,C. Orientare e favorire le scelte professionali.,D. Promuovere la formazione universitaria.
IngegneriaScienzeInformatiche/tirocini-curriculari/linee-guida-relazione-finale-di-tirocinio-ingegneria-e-scienze-informatiche_.pdf/@@download/file/Linee%20guida%20relazione%20finale%20di%20tirocinio%20Ingegneria%20e%20scienze%20informatiche_.pdf.txt,Qual è lo scopo della relazione di tirocinio in questo corso?,A. Illustrare il contesto in cui è stato effettuato il tirocinio e elencare le attività svolte.,B. Descrivere la struttura della relazione di tirocinio.,C. Valutare complessivamente l’esperienza in termini dei contenuti appresi.,D. Inserire la relazione di tirocinio in applicativo tirocini online.
IngegneriaScienzeInformatiche/risultati-di-apprendimento-attesi/index.txt,Qual è la principale funzione del laureato in questo corso?,A. Conoscere e applicare conoscenze e competenze di comprensione.,B. Svolgere progetti di ricerca.,C. Realizzare sistemi informatici.,D. Progettare e sviluppare nuove tecnologie informatiche.
IngegneriaScienzeInformatiche/faq/index.txt,Qual è il titolo di studio rilasciato al termine di un corso di studio in Ingegneria e Scienze Informatiche?,A. Dottore in Ingegneria e Scienze Informatiche,B. Dottore in Scienze Informatiche,C. Dottore in Ingegneria,D. Dottore in Scienze e Tecnologie Informatiche
IngegneriaScienzeInformatiche/calcolo-della-media-di-laurea-per-laureandi-con-carriera-pregressa-seconda-laurea-rinuncia-decadenza/index.txt,Qual è il nuovo calcolo della media di laurea per laureandi con carriera pregressa?,A. Il nuovo calcolo della media di laurea per laureandi con carriera pregressa utilizza l'es exclusione dei voti delle attività riconosciute da precedenti carriere già chiuse.,B. Il nuovo calcolo della media di laurea per laureandi con carriera pregressa utilizza l'es exclusione dei voti delle attività formative conseguite nell’ambito dello stesso corso di studio in cui si consegue il titolo finale.,C. Il nuovo calcolo della media di laurea per laureandi con carriera pregressa utilizza l'es exclusione dei voti delle attività extracurriculari.,D. Il nuovo calcolo della media di laurea per laureandi con carriera pregressa utilizza l'es exclusione dei voti delle attività di ricerca.
IngegneriaScienzeInformatiche/come-assolvere-ofa/index.txt,Qual è l'obiettivo della verifica delle conoscenze nell'iscrizione al corso?,A. Verificare che il candidato non abbia carenze significative in particolari discipline per cui è richiesta un'adeguata preparazione per affrontare con profitto il Corso.,B. Verificare che il candidato abbia raggiunto la media di ammissione del corso.,C. Verificare che il candidato abbia raggiunto la quota di iscrizione al corso.,D. Verificare che il candidato abbia raggiunto la quota di iscrizione al corso in tempo utile.
IngegneriaScienzeInformatiche/obiettivi/index.txt,Qual è l'obiettivo principale del corso di laurea in Informatica?,A. L'apprendimento dei principi dell'ingegneria del software,B. La conoscenza delle principali tecnologie hardware e software,C. La conoscenza delle basi di dati e sistemi informativi,D. La conoscenza della lingua inglese
IngegneriaScienzeInformatiche/redazione-tesi-voto-finale/index.txt,Qual è il processo per ottenere la laurea in Ingegneria Scienze Informatiche?,A. Adhere strictamente alle linee guida per la redazione della tesi in Lingua Italiana.,B. Confermare la validità della tesi con il docente.,C. Demonstrar la conoscenza della bibliografia sull'argomento.,D. Seguire le norme per la formattazione dell'elaborato in PDF.
38_IngegneriaScienzeInformatiche/redazione-tesi-voto-finale/frontespizioltisi.pdf/@@download/file/FrontespizioLTISI.pdf.txt,vuoto,vuoto,vuoto,vuoto,vuoto
IngegneriaScienzeInformatiche/appelli/index.txt,Qual è la durata della prova scritta per la materia di Ingegneria del Software?,A. 40 minuti,B. 20 minuti,C. 60 minuti,D. 80 minuti
IngegneriaScienzeInformatiche/calendario-didattico-1/index.txt,Qual è la durata del secondo periodo di esami del corso?,A. Dal 03/06/2024 all'inizio delle lezioni dell'a. a.\xa02024/25 (settembre 2024),B. Dal 11/06/2024 all'inizio delle lezioni dell'a. a.\xa02025/26 (settembre 2025),C. Dal 19/12/2024 al 14/02/2025,D. Dal 17/02/2025 al 10/06/2025
IngegneriaScienzeInformatiche/muoversi-in-citta-agevolazioni-e-sostenibilita-per-la-comunita-unibo/index.txt,Qual è l'obiettivo principale del programma 'Muoversi in città: agevolazioni e sostenibilità per la comunità Unibo'?,A. Promuovere la sostenibilità della mobilità universitaria.,B. Riducere il tempo di viaggio per gli studenti.,C. Offrire nuove opportunità di lavoro agli studenti.,D. Promuovere la sicurezza della strada per gli studenti.
42_IngegneriaScienzeInformatiche/materiale-di-orientamento-per-gli-studenti-delle-scuole-superiori/index.txt,vuoto,vuoto,vuoto,vuoto,vuoto
IngegneriaScienzeInformatiche/materiale-di-orientamento-per-gli-studenti-delle-scuole-superiori/almaorienta_lt_isi-1.pdf.txt,Qual è l'obiettivo del corso di Ingegneria e Scienze Informatiche?,A. Proporre agli studenti lo studio dell’informatica approfondendo aspetti sia di tipo progettuale/ingegneristico che di tipo matematico/scientifico.,B. Proporre agli studenti la conoscenza di basi di informatica.,C. Proporre agli studenti la conoscenza di linguaggi di programmazione.,D. Proporre agli studenti la conoscenza di sistemi operativi.
IngegneriaScienzeInformatiche/materiale-di-orientamento-per-gli-studenti-delle-scuole-superiori/faq-ingegneria-e-scienze-informatiche-cesena.pdf.txt,"Qual è la differenza tra “Ingegneria Informatica” (BO), “Informatica” ( BO) e “Ingegneria e Scienze Informatiche”?","A. Il corso di Ingegneria Informatica utilizza un maggior numero di esami quali “Elettronica”, “Controlli Automatici”, “Elettrotecnica”, mentre il corso di Informatica utilizza un maggior numero di esami legato all’Informatica teorica e alla modellazione formale di sistemi.",B. Il corso di Ingegneria e Scienze Informatiche utilizza un maggior numero di esami di base.,C. Il corso di Ingegneria Informatica utilizza un maggior numero di esami di specializzazione.,D. Il corso di Informatica utilizza un maggior numero di esami di laurea.
IngegneriaScienzeInformatiche/materiale-di-orientamento-per-gli-studenti-delle-scuole-superiori/intro_2021_lt_lp.pdf.txt,Qual è il corso di laurea triennale che si svolge in Cesena nel Dipartimento di Informatica – Scienza e Ingegneria?,A. Ingegneria e Scienze,B. Informatiche,C. Matematica,D. Fisica
IngegneriaScienzeInformatiche/prova-finale/3863eb3bacdc4e2aab7f78754e0bd326.txt,Qual è il requisito principale per complete la relazione finale del corso di laurea?,A. Deve essere frutto di approfondimento di un lavoro individuale.,B. Deve essere completato entro la scadenza dei requisiti richiesti per la laurea.,C. Deve includere una parte di analisi e una parte di progettazione.,D. Deve sviluppare il tema di approfondimento in modo articolato e completo.
IngegneriaScienzeInformatiche/prova-finale/index.txt,Qual è la validità della domanda di laurea?,A. La domanda di laurea è valida per un solo anno accademico.,B. La domanda di laurea è valida per due anni accademici.,C. La domanda di laurea è valida per tre anni accademici.,D. La domanda di laurea è valida per quattro anni accademici.
IngegneriaScienzeInformatiche/prova-finale/d0e98ad49c724132b17d9327808c96fe/@@download/file/il-diritto-autore-sulla-tesi-di-laurea.pdf.txt,Qual è il diritto d’autore sulla tesi di laurea?,"A. Il diritto d’autore sulla tesi, sia morali che patrimoniali, spettano al laureando.",B. Il diritto d’autore sulla tesi non è exorbitato dalla legge italiana.,C. Il diritto d’autore sulla tesi è exorbitato dalla normativa internazionale.,D. Il diritto d’autore sulla tesi è exorbitato dalla normativa europea.
IngegneriaScienzeInformatiche/prova-finale/3863eb3bacdc4e2aab7f78754e0bd326/@@download/file/Linee%20guida%20tesi%208615.pdf.txt,Qual è il requisito principale per complete la relazione finale del corso?,A. Deve essere frutto di approfondimento di un lavoro individuale.,B. Deve essere descritto in modo approfondito un tema.,C. Deve sviluppare il tema di approfondimento in modo articolato e completo.,D. Deve essere correttamente organizzata e completa.
IngegneriaScienzeInformatiche/prova-finale/istruzioni-ita.pdf/@@download/file/Istruzioni-ITA.pdf.txt,Qual è il formato del file della tesi?,"A. PDF testuale, con frontespizio, in base al modello fornito dal CdS","B. PDF testuale, con frontespizio, in base al modello fornito dal CdS, ma con protezione o password","C. PDF testuale, con frontespizio, in base al modello fornito dal CdS, con immagini a bassa risoluzione","D. PDF testuale, con frontespizio, in base al modello fornito dal CdS, con dimensioni superiori ai 30Mb"
51_IngegneriaScienzeInformatiche/insegnamenti/index.txt,vuoto,vuoto,vuoto,vuoto,vuoto
52_IngegneriaScienzeInformatiche/insegnamenti/_year=2024&code=8615/index.txt,vuoto,vuoto,vuoto,vuoto,vuoto
IngegneriaScienzeInformatiche/insegnamenti/piano/2024/8615/000/000/2023/index.txt,Qual è il periodo in cui si tengono le lezioni di un insegnamento di questo corso?,A. 18/09/2024 - 18/12/2024 2: 17/02/2025 - 10/06/2025 E: 18/09/2024 - 10/06/2025,B. Il periodo in cui si tengono le lezioni del corso precedente.,C. Il periodo in cui si terrono le lezioni del corso successivo.,D. Il periodo in cui si tengono le lezioni di un corso diverso.
